id,neo_reference_id,name,absolute_magnitude_h,estimated_diameter_min_km,estimated_diameter_max_km,is_potentially_hazardous_asteroid,close_approach_date,relative_velocity_kmph,astronomical,miss_distance_km,miss_distance_lunar,orbiting_body
54435948,54435948,(2024 HY),23.67,0.0490405098,0.1096579137,False,2024-01-05,25849.764640261,0.337303243,50459846.69689241,131.210961527,Earth
2199003,2199003,199003 (2005 WJ56),18.16,0.620233153,1.3868834919,True,2024-01-07,55047.0116924064,0.1995345465,29849943.147815954,77.6189385885,Earth
2434188,2434188,434188 (2003 AD23),19.09,0.4041615334,0.9037326626,True,2024-01-07,121814.4318166937,0.204313989,30564937.56560343,79.478141721,Earth
3398095,3398095,(2007 YZ),19.53,0.3300311834,0.7379721607,False,2024-01-07,63326.0734302496,0.1917667009,28687889.991567083,74.5972466501,Earth
3520662,3520662,(2010 JR34),27.7,0.0076657557,0.0171411509,False,2024-01-07,38150.2228974764,0.203565311,30452936.93148757,79.186905979,Earth
3596030,3596030,(2012 BV13),22.29,0.0925880583,0.2070331923,False,2024-01-07,67673.6862419358,0.476653263,71306312.87334982,185.418119307,Earth
3843476,3843476,(2019 PJ),23.78,0.0466181437,0.1042413384,False,2024-01-07,51829.9434207299,0.0248646998,3719706.128269426,9.6723682222,Earth
54100190,54100190,(2020 XA5),24.29,0.0368599699,0.0824213984,False,2024-01-07,29683.7186858648,0.142752665,21355494.62082355,55.530786685,Earth
54151575,54151575,(2021 LA),23.84,0.0453476699,0.1014004725,False,2024-01-07,89673.010465549,0.4791922828,71686144.82731764,186.4057980092,Earth
54212701,54212701,(2021 UH2),25.13,0.0250354255,0.0559809132,False,2024-01-07,17887.5007576928,0.1645356081,24614176.510914747,64.0043515509,Earth
54418496,54418496,(2023 YV1),23.68,0.0488151892,0.1091540813,False,2024-01-07,29233.776157356,0.0564841975,8449915.634659326,21.9723528275,Earth
